LICENSED DRIVERS BY SEX AND RATIO TO POPULATION - 2018 1/,,,,,,,,,,,,
,,,,,,,,,,,,
 December 2019,,,,,,,,,,,,TABLE DL-1C
,LICENSED DRIVERS,,,,,RATIO--LICENSED,POPULATION  3/,,,,DRIVERS,
,,PERCENT,,PERCENT,,DRIVERS/PRIVATE AND,TOTAL,DRIVING AGE (16 AND OVER) ,,,"PER 1,000","PER 1,000"
STATE,MALE,MALE DRIVERS,FEMALE,FEMALE DRIVERS,TOTAL,COMMERCIAL MOTOR,RESIDENT,MALE,FEMALE,TOTAL,TOTAL RESIDENT,DRIVING AGE
,DRIVERS,OF TOTAL,DRIVERS,OF TOTAL,DRIVERS,VEHICLES REGISTERED,,,,,POPULATION,POPULATION
Alabama ,"1,939,120",48.49,"2,059,937",51.51,"3,999,057",0.77,"4,887,871","1,873,206","2,051,459","3,924,665",818,"1,019"
Alaska2 ,"281,297",52.48,"254,736",47.52,"536,033",0.69,"737,438","300,173","272,699","572,872",727,936
Arizona ,"2,645,777",50.06,"2,639,193",49.94,"5,284,970",0.92,"7,171,646","2,822,894","2,893,459","5,716,353",737,925
Arkansas ,"1,052,671",49.07,"1,092,663",50.93,"2,145,334",0.77,"3,013,825","1,160,540","1,229,433","2,389,973",712,898
California ,"13,755,501",50.87,"13,283,899",49.13,"27,039,400",0.89,"39,557,045","15,584,687","15,992,312","31,576,999",684,856
Colorado ,"2,194,476",51.7,"2,050,237",48.3,"4,244,713",0.8,"5,695,564","2,293,825","2,278,929","4,572,754",745,928
Connecticut ,"1,290,562",49.53,"1,315,050",50.47,"2,605,612",0.91,"3,572,665","1,415,760","1,514,580","2,930,340",729,889
Delaware ,"382,824",48.67,"403,680",51.33,"786,504",0.78,"967,171","376,776","410,009","786,785",813,"1,000"
Dist. of Col. ,"260,438",49.35,"267,293",50.65,"527,731",1.72,"702,455","274,188","311,379","585,567",751,901
Florida ,"7,550,785",49.13,"7,817,910",50.87,"15,368,695",0.89,"21,299,325","8,501,791","9,057,134","17,558,925",722,875
Georgia ,"3,423,998",47.76,"3,744,735",52.24,"7,168,733",0.86,"10,519,475","3,987,512","4,317,489","8,305,001",681,863
Hawaii ,"488,143",51.47,"460,274",48.53,"948,417",0.76,"1,420,491","571,073","576,941","1,148,014",668,826
Idaho ,"633,934",50.61,"618,601",49.39,"1,252,535",0.67,"1,754,208","677,163","681,210","1,358,373",714,922
Illinois ,"4,218,990",48.41,"4,495,798",51.59,"8,714,788",0.83,"12,741,080","4,972,378","5,245,621","10,217,999",684,853
Indiana ,"2,253,445",49.1,"2,335,960",50.9,"4,589,405",0.74,"6,691,878","2,590,051","2,715,093","5,305,144",686,865
Iowa ,"1,119,487",49.53,"1,140,784",50.47,"2,260,271",0.62,"3,156,145","1,238,894","1,268,380","2,507,274",716,901
Kansas ,"1,070,810",49.82,"1,078,620",50.18,"2,149,430",0.81,"2,911,505","1,129,904","1,154,412","2,284,316",738,941
Kentucky ,"1,489,984",49.13,"1,542,546",50.87,"3,032,530",0.71,"4,468,402","1,743,468","1,830,309","3,573,777",679,849
Louisiana ,"1,645,587",48.04,"1,779,848",51.96,"3,425,435",0.9,"4,659,978","1,777,964","1,906,587","3,684,551",735,930
Maine ,"514,341",49.43,"526,241",50.57,"1,040,582",0.94,"1,338,404","542,488","575,989","1,118,477",777,930
Maryland ,"2,184,693",49.56,"2,223,280",50.44,"4,407,973",1.07,"6,042,718","2,322,922","2,531,710","4,854,632",729,908
Massachusetts ,"2,442,439",49.4,"2,502,227",50.6,"4,944,666",0.98,"6,902,149","2,737,188","2,964,328","5,701,516",716,867
Michigan ,"3,505,792",49.01,"3,647,853",50.99,"7,153,645",0.86,"9,995,915","3,948,056","4,143,140","8,091,196",716,884
Minnesota ,"1,701,761",50.18,"1,689,296",49.82,"3,391,057",0.63,"5,611,179","2,202,739","2,249,525","4,452,264",604,762
Mississippi ,"974,505",47.35,"1,083,531",52.65,"2,058,036",1,"2,986,530","1,129,063","1,232,117","2,361,180",689,872
Missouri ,"2,078,099",48.63,"2,194,861",51.37,"4,272,960",0.78,"6,126,452","2,383,213","2,522,946","4,906,159",697,871
Montana ,"409,836",50.84,"396,368",49.16,"806,204",0.44,"1,062,305","430,270","428,175","858,445",759,939
Nebraska ,"712,326",50.15,"707,991",49.85,"1,420,317",0.74,"1,929,268","745,508","758,716","1,504,224",736,944
Nevada ,"1,013,658",51.11,"969,795",48.89,"1,983,453",0.8,"3,034,392","1,208,558","1,212,994","2,421,552",654,819
New Hampshire ,"587,031",50.53,"574,634",49.47,"1,161,665",0.87,"1,356,458","556,757","574,068","1,130,825",856,"1,027"
New Jersey ,"3,119,373",49.18,"3,223,503",50.82,"6,342,876",1.06,"8,908,520","3,472,212","3,711,830","7,184,042",712,883
New Mexico ,"720,611",49.41,"737,822",50.59,"1,458,433",0.81,"2,095,428","819,874","849,025","1,668,899",696,874
New York ,"5,924,977",48.59,"6,269,383",51.41,"12,194,360",1.07,"19,542,209","7,645,059","8,291,594","15,936,653",624,765
North Carolina ,"3,627,569",48.31,"3,881,662",51.69,"7,509,231",0.93,"10,383,620","4,013,702","4,336,187","8,349,889",723,899
North Dakota ,"290,194",51.7,"271,139",48.3,"561,333",0.64,"760,077","306,848","291,823","598,671",739,938
Ohio ,"3,896,537",48.51,"4,136,128",51.49,"8,032,665",0.74,"11,689,442","4,560,299","4,839,799","9,400,098",687,855
Oklahoma ,"1,160,904",46.36,"1,343,349",53.64,"2,504,253",0.68,"3,943,079","1,518,004","1,574,054","3,092,058",635,810
Oregon ,"1,438,753",49.09,"1,491,949",50.91,"2,930,702",0.76,"4,190,713","1,680,548","1,735,101","3,415,649",699,858
Pennsylvania ,"4,452,466",49.52,"4,538,904",50.48,"8,991,370",0.85,"12,807,060","5,079,203","5,390,635","10,469,838",702,859
Rhode Island ,"369,905",48.87,"387,061",51.13,"756,966",0.88,"1,057,315","422,093","454,881","876,974",716,863
South Carolina ,"1,845,703",47.99,"2,000,366",52.01,"3,846,069",0.9,"5,084,127","1,965,101","2,138,664","4,103,765",756,937
South Dakota ,"322,365",50.49,"316,063",49.51,"638,428",0.51,"882,235","345,500","341,551","687,051",724,929
Tennessee ,"2,783,320",51.33,"2,639,109",48.67,"5,422,429",0.97,"6,770,010","2,622,675","2,813,213","5,435,888",801,998
Texas ,"8,591,430",49.46,"8,778,953",50.54,"17,370,383",0.79,"28,701,845","10,905,883","11,220,158","22,126,041",605,785
Utah ,"1,022,425",50.35,"1,008,219",49.65,"2,030,644",0.87,"3,161,105","1,165,467","1,164,700","2,330,167",642,871
Vermont ,"280,981",49.74,"283,911",50.26,"564,892",0.93,"626,299","256,814","267,780","524,594",902,"1,077"
Virginia ,"2,856,249",48.17,"3,072,782",51.83,"5,929,031",0.79,"8,517,685","3,342,739","3,516,522","6,859,261",696,864
Washington ,"3,028,517",51.24,"2,881,450",48.76,"5,909,967",0.85,"7,535,591","3,011,488","3,041,809","6,053,297",784,976
West Virginia ,"561,579",49.4,"575,196",50.6,"1,136,775",0.69,"1,805,832","729,459","754,655","1,484,114",630,766
Wisconsin ,"2,149,326",50.12,"2,138,845",49.88,"4,288,171",0.77,"5,813,568","2,315,476","2,370,801","4,686,277",738,915
Wyoming ,"214,331",51.12,"204,925",48.88,"419,256",0.51,"577,737","232,568","224,826","457,394",726,917
Total ,"112,479,825",49.43,"115,078,560",50.57,"227,558,385",0.84,"327,167,434","127,910,021","134,230,751","262,140,772",696,868
    1/  Include restricted drivers and graduated driver licenses.,,,,,,,       3/  Source: Bureau of the Census.  ,,,,,
    2/ Data for older age groups have been estimated based on the Census population figures for that State and age group. ,,,,,,,       ,,,,,
