State,Total_Drivers_Per_Years,Drivers_Population,,
Alabama,Total_Drivers_Y22,"4,087,885",,
Alabama,Total_Drivers_Y20,"4,042,900",,
Alabama,Total_Drivers_Y18,"3,999,057",,
Alaska,Total_Drivers_Y20,"518,872",,
Alaska,Total_Drivers_Y22,"521,220",,
Alaska,Total_Drivers_Y18,"536,033",,
Arizona,Total_Drivers_Y22,"5,847,661",,
Arizona,Total_Drivers_Y20,"5,681,495",,
Arizona,Total_Drivers_Y18,"5,284,970",,
Arkansas,Total_Drivers_Y18,"2,145,334",,
Arkansas,Total_Drivers_Y22,"2,306,921",,
Arkansas,Total_Drivers_Y20,"2,153,929",,
California,Total_Drivers_Y22,"27,632,103",,
California,Total_Drivers_Y20,"27,005,302",,
California,Total_Drivers_Y18,"27,039,400",,
Colorado,Total_Drivers_Y20,"4,299,447",,
Colorado,Total_Drivers_Y18,"4,244,713",,
Colorado,Total_Drivers_Y22,"4,477,447",,
Connecticut,Total_Drivers_Y20,"2,508,670",,
Connecticut,Total_Drivers_Y18,"2,605,612",,
Connecticut,Total_Drivers_Y22,"2,628,775",,
Delaware,Total_Drivers_Y22,"862,122",,
Delaware,Total_Drivers_Y20,"829,226",,
Delaware,Total_Drivers_Y18,"786,504",,
Dist. of Col.,Total_Drivers_Y20,"520,865",,
Dist. of Col.,Total_Drivers_Y18,"527,731",,
Dist. of Col.,Total_Drivers_Y22,"510,985",,
Florida,Total_Drivers_Y22,"16,495,556",,
Florida,Total_Drivers_Y20,"15,715,373",,
Florida,Total_Drivers_Y18,"15,368,695",,
Georgia,Total_Drivers_Y22,"7,360,699",,
Georgia,Total_Drivers_Y20,"7,521,750",,
Georgia,Total_Drivers_Y18,"7,168,733",,
Hawaii,Total_Drivers_Y20,"921,547",,
Hawaii,Total_Drivers_Y18,"948,417",,
Hawaii,Total_Drivers_Y22,"937,076",,
Idaho,Total_Drivers_Y22,"1,392,644",,
Idaho,Total_Drivers_Y18,"1,252,535",,
Idaho,Total_Drivers_Y20,"1,285,331",,
Illinois,Total_Drivers_Y22,"8,509,418",,
Illinois,Total_Drivers_Y20,"8,225,298",,
Illinois,Total_Drivers_Y18,"8,714,788",,
Indiana,Total_Drivers_Y22,"4,653,808",,
Indiana,Total_Drivers_Y20,"4,532,708",,
Indiana,Total_Drivers_Y18,"4,589,405",,
Iowa,Total_Drivers_Y20,"2,268,916",,
Iowa,Total_Drivers_Y18,"2,260,271",,
Iowa,Total_Drivers_Y22,"2,354,046",,
Kansas,Total_Drivers_Y22,"2,052,473",,
Kansas,Total_Drivers_Y20,"2,004,302",,
Kansas,Total_Drivers_Y18,"2,149,430",,
Kentucky,Total_Drivers_Y22,"2,993,550",,
Kentucky,Total_Drivers_Y20,"2,905,632",,
Kentucky,Total_Drivers_Y18,"3,032,530",,
Louisiana,Total_Drivers_Y22,"3,401,947",,
Louisiana,Total_Drivers_Y20,"3,416,648",,
Louisiana,Total_Drivers_Y18,"3,425,435",,
Maine,Total_Drivers_Y22,"1,060,461",,
Maine,Total_Drivers_Y20,"1,047,893",,
Maine,Total_Drivers_Y18,"1,040,582",,
Maryland,Total_Drivers_Y20,"4,454,266",,
