State,Total_Drivers_Per_Years, Drivers_Population 
Alabama,Total_Drivers_Y18,3999057
Alabama,Total_Drivers_Y20,4042900
Alabama,Total_Drivers_Y22,4087885
Alaska,Total_Drivers_Y20,518872
Alaska,Total_Drivers_Y22,521220
Alaska,Total_Drivers_Y18,536033
Arizona,Total_Drivers_Y18,5284970
Arizona,Total_Drivers_Y20,5681495
Arizona,Total_Drivers_Y22,5847661
Arkansas,Total_Drivers_Y18,2145334
Arkansas,Total_Drivers_Y20,2153929
Arkansas,Total_Drivers_Y22,2306921
California,Total_Drivers_Y20,27005302
California,Total_Drivers_Y18,27039400
California,Total_Drivers_Y22,27632103
Colorado,Total_Drivers_Y18,4244713
Colorado,Total_Drivers_Y20,4299447
Colorado,Total_Drivers_Y22,4477447
Connecticut,Total_Drivers_Y20,2508670
Connecticut,Total_Drivers_Y18,2605612
Connecticut,Total_Drivers_Y22,2628775
Delaware,Total_Drivers_Y18,786504
Delaware,Total_Drivers_Y20,829226
Delaware,Total_Drivers_Y22,862122
Dist. of Col.,Total_Drivers_Y22,510985
Dist. of Col.,Total_Drivers_Y20,520865
Dist. of Col.,Total_Drivers_Y18,527731
Florida,Total_Drivers_Y18,15368695
Florida,Total_Drivers_Y20,15715373
Florida,Total_Drivers_Y22,16495556
Georgia,Total_Drivers_Y18,7168733
Georgia,Total_Drivers_Y22,7360699
Georgia,Total_Drivers_Y20,7521750
Hawaii,Total_Drivers_Y20,921547
Hawaii,Total_Drivers_Y22,937076
Hawaii,Total_Drivers_Y18,948417
Idaho,Total_Drivers_Y18,1252535
Idaho,Total_Drivers_Y20,1285331
Idaho,Total_Drivers_Y22,1392644
Illinois,Total_Drivers_Y20,8225298
Illinois,Total_Drivers_Y22,8509418
Illinois,Total_Drivers_Y18,8714788
Indiana,Total_Drivers_Y20,4532708
Indiana,Total_Drivers_Y18,4589405
Indiana,Total_Drivers_Y22,4653808
Iowa,Total_Drivers_Y18,2260271
Iowa,Total_Drivers_Y20,2268916
Iowa,Total_Drivers_Y22,2354046
Kansas,Total_Drivers_Y20,2004302
Kansas,Total_Drivers_Y22,2052473
Kansas,Total_Drivers_Y18,2149430
Kentucky,Total_Drivers_Y20,2905632
Kentucky,Total_Drivers_Y22,2993550
Kentucky,Total_Drivers_Y18,3032530
Louisiana,Total_Drivers_Y22,3401947
Louisiana,Total_Drivers_Y20,3416648
Louisiana,Total_Drivers_Y18,3425435
Maine,Total_Drivers_Y18,1040582
Maine,Total_Drivers_Y20,1047893
Maine,Total_Drivers_Y22,1060461
Maryland,Total_Drivers_Y22,4398839
Maryland,Total_Drivers_Y18,4407973
Maryland,Total_Drivers_Y20,4454266
Massachusetts,Total_Drivers_Y22,4889069
Massachusetts,Total_Drivers_Y20,4940373
Massachusetts,Total_Drivers_Y18,4944666
Michigan,Total_Drivers_Y20,7026650
Michigan,Total_Drivers_Y18,7153645
Michigan,Total_Drivers_Y22,7776994
Minnesota,Total_Drivers_Y18,3391057
Minnesota,Total_Drivers_Y20,4090264
Minnesota,Total_Drivers_Y22,4117786
Mississippi,Total_Drivers_Y20,2017111
Mississippi,Total_Drivers_Y22,2047069
Mississippi,Total_Drivers_Y18,2058036
Missouri,Total_Drivers_Y20,4259672
Missouri,Total_Drivers_Y18,4272960
Missouri,Total_Drivers_Y22,4290391
Montana,Total_Drivers_Y18,806204
Montana,Total_Drivers_Y20,826754
Montana,Total_Drivers_Y22,870882
Nebraska,Total_Drivers_Y18,1420317
Nebraska,Total_Drivers_Y20,1438821
Nebraska,Total_Drivers_Y22,1449818
Nevada,Total_Drivers_Y18,1983453
Nevada,Total_Drivers_Y20,2056394
Nevada,Total_Drivers_Y22,2210689
New Hampshire,Total_Drivers_Y20,1060381
New Hampshire,Total_Drivers_Y18,1161665
New Hampshire,Total_Drivers_Y22,1174826
New Jersey,Total_Drivers_Y20,6230912
New Jersey,Total_Drivers_Y18,6342876
New Jersey,Total_Drivers_Y22,6633936
New Mexico,Total_Drivers_Y18,1458433
New Mexico,Total_Drivers_Y20,1473219
New Mexico,Total_Drivers_Y22,1508575
New York,Total_Drivers_Y22,12084675
New York,Total_Drivers_Y18,12194360
New York,Total_Drivers_Y20,12194360
North Carolina,Total_Drivers_Y18,7509231
North Carolina,Total_Drivers_Y20,7637400
North Carolina,Total_Drivers_Y22,7980262
North Dakota,Total_Drivers_Y20,539006
North Dakota,Total_Drivers_Y18,561333
North Dakota,Total_Drivers_Y22,563161
Ohio,Total_Drivers_Y18,8032665
Ohio,Total_Drivers_Y20,8100273
Ohio,Total_Drivers_Y22,8405794
Oklahoma,Total_Drivers_Y18,2504253
Oklahoma,Total_Drivers_Y20,2550560
Oklahoma,Total_Drivers_Y22,2556609
Oregon,Total_Drivers_Y18,2930702
Oregon,Total_Drivers_Y20,2944828
Oregon,Total_Drivers_Y22,3104916
Pennsylvania,Total_Drivers_Y20,8930677
Pennsylvania,Total_Drivers_Y18,8991370
Pennsylvania,Total_Drivers_Y22,9124262
Rhode Island,Total_Drivers_Y20,731715
Rhode Island,Total_Drivers_Y18,756966
Rhode Island,Total_Drivers_Y22,760414
South Carolina,Total_Drivers_Y18,3846069
South Carolina,Total_Drivers_Y20,3905911
South Carolina,Total_Drivers_Y22,4091650
South Dakota,Total_Drivers_Y18,638428
South Dakota,Total_Drivers_Y20,658091
South Dakota,Total_Drivers_Y22,679711
Tennessee,Total_Drivers_Y20,4877268
Tennessee,Total_Drivers_Y22,5061288
Tennessee,Total_Drivers_Y18,5422429
Texas,Total_Drivers_Y18,17370383
Texas,Total_Drivers_Y20,17667039
Texas,Total_Drivers_Y22,18738980
Utah,Total_Drivers_Y18,2030644
Utah,Total_Drivers_Y20,2149766
Utah,Total_Drivers_Y22,2252656
Vermont,Total_Drivers_Y20,460871
Vermont,Total_Drivers_Y22,478421
Vermont,Total_Drivers_Y18,564892
Virginia,Total_Drivers_Y22,5837147
Virginia,Total_Drivers_Y20,5909716
Virginia,Total_Drivers_Y18,5929031
Washington,Total_Drivers_Y20,5812500
Washington,Total_Drivers_Y18,5909967
Washington,Total_Drivers_Y22,5956048
West Virginia,Total_Drivers_Y20,1101775
West Virginia,Total_Drivers_Y18,1136775
West Virginia,Total_Drivers_Y22,1148406
Wisconsin,Total_Drivers_Y18,4288171
Wisconsin,Total_Drivers_Y20,4315892
Wisconsin,Total_Drivers_Y22,4374582
Wyoming,Total_Drivers_Y18,419256
Wyoming,Total_Drivers_Y20,427233
Wyoming,Total_Drivers_Y22,431900
